track,lessonId,chapterId,chapterTitleJa,chapterTitleZh,lessonIndexInChapter,lessonTitleJa,lessonTitleZh,audioRelPath
Track038,ch08-l03,ch08,自然・レジャー,自然、休闲篇,3,自然,自然,resources/audio/extracted/万词对策N2/Track038.mp3
Track039,ch08-l04,ch08,自然・レジャー,自然、休闲篇,4,休日,休息日,resources/audio/extracted/万词对策N2/Track039.mp3
Track040,ch08-l05,ch08,自然・レジャー,自然、休闲篇,5,旅行,旅行,resources/audio/extracted/万词对策N2/Track040.mp3
Track041,ch09-l01,ch09,健康のために,健康篇,1,体と健康,身体与健康,resources/audio/extracted/万词对策N2/Track041.mp3
Track042,ch09-l02,ch09,健康のために,健康篇,2,病気になる前に,生病前,resources/audio/extracted/万词对策N2/Track042.mp3
Track043,ch09-l03,ch09,健康のために,健康篇,3,症状,症状,resources/audio/extracted/万词对策N2/Track043.mp3
Track044,ch09-l04,ch09,健康のために,健康篇,4,病気と治療,疾病与治疗,resources/audio/extracted/万词对策N2/Track044.mp3
Track045,ch09-l05,ch09,健康のために,健康篇,5,美容,美容,resources/audio/extracted/万词对策N2/Track045.mp3
Track046,ch10-l01,ch10,ニュース,新闻篇,1,トラブル・事件,纠纷、事件,resources/audio/extracted/万词对策N2/Track046.mp3
Track047,ch10-l02,ch10,ニュース,新闻篇,2,事故,事故,resources/audio/extracted/万词对策N2/Track047.mp3
Track048,ch10-l03,ch10,ニュース,新闻篇,3,政治,政治,resources/audio/extracted/万词对策N2/Track048.mp3
Track049,ch10-l04,ch10,ニュース,新闻篇,4,社会,社会,resources/audio/extracted/万词对策N2/Track049.mp3
Track050,ch10-l05,ch10,ニュース,新闻篇,5,世界・環境,世界、环境,resources/audio/extracted/万词对策N2/Track050.mp3
Track051,ch11-l01,ch11,様子・イメージ,样子、印象篇,1,性格,性格,resources/audio/extracted/万词对策N2/Track051.mp3
Track052,ch11-l02,ch11,様子・イメージ,样子、印象篇,2,いい気分,好心情,resources/audio/extracted/万词对策N2/Track052.mp3
Track053,ch11-l03,ch11,様子・イメージ,样子、印象篇,3,ブルーな気分,郁闷心情,resources/audio/extracted/万词对策N2/Track053.mp3
Track054,ch11-l04,ch11,様子・イメージ,样子、印象篇,4,プラスのイメージ,积极印象,resources/audio/extracted/万词对策N2/Track054.mp3
Track055,ch11-l05,ch11,様子・イメージ,样子、印象篇,5,マイナスのイメージ,消极印象,resources/audio/extracted/万词对策N2/Track055.mp3
Track056,ch12-l01,ch12,間違えやすい表現,易错表达,1,慣用句①（心・胸）,惯用句①（心・胸）,resources/audio/extracted/万词对策N2/Track056.mp3
Track057,ch12-l02,ch12,間違えやすい表現,易错表达,2,慣用句②（头部、脸部）,惯用句②（头部、脸部）,resources/audio/extracted/万词对策N2/Track057.mp3
Track058,ch12-l03,ch12,間違えやすい表現,易错表达,3,慣用句③（身体部位）,惯用句③（身体部位）,resources/audio/extracted/万词对策N2/Track058.mp3
Track059,ch12-l04,ch12,間違えやすい表現,易错表达,4,副詞,副词,resources/audio/extracted/万词对策N2/Track059.mp3
Track060,ch12-l05,ch12,間違えやすい表現,易错表达,5,接続表現,连接表达,resources/audio/extracted/万词对策N2/Track060.mp3
