track,lessonId,chapterId,chapterTitleJa,chapterTitleZh,lessonIndex,lessonTitleJa,lessonTitleZh,audioRelPath
Chapter07_Section2,ch07-l02,ch07,旅行・趣味,旅行兴趣篇,2,スポーツ,スポーツ,resources/audio/extracted/万词对策N3/Chapter07_Section2.mp3
Chapter07_Section3,ch07-l03,ch07,旅行・趣味,旅行兴趣篇,3,ファッション,ファッション,resources/audio/extracted/万词对策N3/Chapter07_Section3.mp3
Chapter07_Section4,ch07-l04,ch07,旅行・趣味,旅行兴趣篇,4,おしゃれ,おしゃれ,resources/audio/extracted/万词对策N3/Chapter07_Section4.mp3
Chapter07_Section5,ch07-l05,ch07,旅行・趣味,旅行兴趣篇,5,趣味,趣味,resources/audio/extracted/万词对策N3/Chapter07_Section5.mp3
Chapter08_Section1,ch08-l01,ch08,体・健康,身体健康篇,1,体,体,resources/audio/extracted/万词对策N3/Chapter08_Section1.mp3
Chapter08_Section2,ch08-l02,ch08,体・健康,身体健康篇,2,何のサイン？,何のサイン？,resources/audio/extracted/万词对策N3/Chapter08_Section2.mp3
Chapter08_Section3,ch08-l03,ch08,体・健康,身体健康篇,3,症状,症状,resources/audio/extracted/万词对策N3/Chapter08_Section3.mp3
Chapter08_Section4,ch08-l04,ch08,体・健康,身体健康篇,4,大丈夫？,大丈夫？,resources/audio/extracted/万词对策N3/Chapter08_Section4.mp3
Chapter08_Section5,ch08-l05,ch08,体・健康,身体健康篇,5,病院,病院,resources/audio/extracted/万词对策N3/Chapter08_Section5.mp3
Chapter09_Section1,ch09-l01,ch09,自然・天気,自然天气篇,1,自然,自然,resources/audio/extracted/万词对策N3/Chapter09_Section1.mp3
Chapter09_Section2,ch09-l02,ch09,自然・天気,自然天气篇,2,明日の天気,明日の天気,resources/audio/extracted/万词对策N3/Chapter09_Section2.mp3
Chapter09_Section3,ch09-l03,ch09,自然・天気,自然天气篇,3,暑い日と寒い日,暑い日と寒い日,resources/audio/extracted/万词对策N3/Chapter09_Section3.mp3
Chapter09_Section4,ch09-l04,ch09,自然・天気,自然天气篇,4,どう変わる？,怎么变化？,resources/audio/extracted/万词对策N3/Chapter09_Section4.mp3
Chapter09_Section5,ch09-l05,ch09,自然・天気,自然天气篇,5,日本の１年,日本の１年,resources/audio/extracted/万词对策N3/Chapter09_Section5.mp3
Chapter10_Section1,ch10-l01,ch10,ニュース・トラブル,新闻纠纷篇,1,マスコミ,媒体,resources/audio/extracted/万词对策N3/Chapter10_Section1.mp3
Chapter10_Section2,ch10-l02,ch10,ニュース・トラブル,新闻纠纷篇,2,事件,事件,resources/audio/extracted/万词对策N3/Chapter10_Section2.mp3
Chapter10_Section3,ch10-l03,ch10,ニュース・トラブル,新闻纠纷篇,3,気をつけよう!,小心!,resources/audio/extracted/万词对策N3/Chapter10_Section3.mp3
Chapter10_Section4,ch10-l04,ch10,ニュース・トラブル,新闻纠纷篇,4,トラブル,遇上麻烦,resources/audio/extracted/万词对策N3/Chapter10_Section4.mp3
Chapter10_Section5,ch10-l05,ch10,ニュース・トラブル,新闻纠纷篇,5,データ,数据,resources/audio/extracted/万词对策N3/Chapter10_Section5.mp3
Chapter11_Section1,ch11-l01,ch11,気持ち・様子,心情印象篇,1,性格,性格,resources/audio/extracted/万词对策N3/Chapter11_Section1.mp3
Chapter11_Section2,ch11-l02,ch11,気持ち・様子,心情印象篇,2,うれしい気持ち,うれしい気持ち,resources/audio/extracted/万词对策N3/Chapter11_Section2.mp3
Chapter11_Section3,ch11-l03,ch11,気持ち・様子,心情印象篇,3,ブルーな気分,ブルーな気分,resources/audio/extracted/万词对策N3/Chapter11_Section3.mp3
Chapter11_Section4,ch11-l04,ch11,気持ち・様子,心情印象篇,4,どんな感じ？,どんな感じ？,resources/audio/extracted/万词对策N3/Chapter11_Section4.mp3
Chapter11_Section5,ch11-l05,ch11,気持ち・様子,心情印象篇,5,複雑な気持ち,複雑な気持ち,resources/audio/extracted/万词对策N3/Chapter11_Section5.mp3
Chapter12_Section1,ch12-l01,ch12,イメージ・社会,印象社会篇,1,デザイン,设计,resources/audio/extracted/万词对策N3/Chapter12_Section1.mp3
Chapter12_Section2,ch12-l02,ch12,イメージ・社会,印象社会篇,2,人のイメージ,描述人,resources/audio/extracted/万词对策N3/Chapter12_Section2.mp3
Chapter12_Section3,ch12-l03,ch12,イメージ・社会,印象社会篇,3,物のイメージ,描述物体,resources/audio/extracted/万词对策N3/Chapter12_Section3.mp3
Chapter12_Section4,ch12-l04,ch12,イメージ・社会,印象社会篇,4,私たちの社会,我们的社会,resources/audio/extracted/万词对策N3/Chapter12_Section4.mp3
Chapter12_Section5,ch12-l05,ch12,イメージ・社会,印象社会篇,5,国際社会,国际社会,resources/audio/extracted/万词对策N3/Chapter12_Section5.mp3
